chrom	length	bases	mean	min	max
scaffold_1177_region	12166	281598	23.15	1	43
scaffold_1178	19422	420754	21.66	0	80
scaffold_1178_region	0	0	0.00	0	0
scaffold_1179	19421	562223	28.95	0	97
scaffold_1179_region	1351	50101	37.08	16	76
scaffold_1180	19385	232592	12.00	0	69
scaffold_1180_region	0	0	0.00	0	0
scaffold_1181	19306	322780	16.72	0	90
scaffold_1181_region	0	0	0.00	0	0
scaffold_1182	19290	315052	16.33	0	80
scaffold_1182_region	0	0	0.00	0	0
scaffold_1183	19266	649173	33.70	0	113
scaffold_1183_region	0	0	0.00	0	0
scaffold_1184	19240	473229	24.60	0	277
scaffold_1184_region	1211	9284	7.67	0	15
scaffold_1185	19140	471498	24.63	0	126
scaffold_1185_region	0	0	0.00	0	0
scaffold_1186	19118	490891	25.68	0	59
scaffold_1186_region	17724	462170	26.08	3	59
scaffold_1187	19085	220745	11.57	0	76
scaffold_1187_region	0	0	0.00	0	0
scaffold_1188	19082	603833	31.64	0	146
scaffold_1188_region	0	0	0.00	0	0
scaffold_1189	19065	379864	19.92	0	64
scaffold_1189_region	0	0	0.00	0	0
scaffold_1190	19059	205743	10.80	0	56
scaffold_1190_region	0	0	0.00	0	0
scaffold_1191	19035	491354	25.81	1	101
scaffold_1191_region	395	10988	27.82	14	42
scaffold_1192	19030	793159	41.68	0	182
scaffold_1192_region	8595	350671	40.80	8	95
scaffold_1193	19023	637661	33.52	0	103
scaffold_1193_region	0	0	0.00	0	0
scaffold_1194	18990	252029	13.27	0	33
scaffold_1194_region	7654	90600	11.84	3	25
scaffold_1195	18964	492916	25.99	0	119
scaffold_1195_region	4867	111955	23.00	1	55
scaffold_1196	18949	347568	18.34	4	38
scaffold_1196_region	10552	203300	19.27	7	38
scaffold_1197	18921	507089	26.80	0	64
scaffold_1197_region	8017	191730	23.92	11	45
scaffold_1198	18883	372596	19.73	2	37
scaffold_1198_region	4888	102815	21.03	9	35
scaffold_1199	18861	360252	19.10	0	67
scaffold_1199_region	0	0	0.00	0	0
scaffold_1200	18852	453979	24.08	6	65
scaffold_1200_region	15792	397346	25.16	6	65
scaffold_1201	18813	624999	33.22	0	114
scaffold_1201_region	5882	130658	22.21	1	47
scaffold_1202	18757	504537	26.90	0	92
scaffold_1202_region	3669	80336	21.90	10	36
scaffold_1203	18737	486345	25.96	0	99
scaffold_1203_region	0	0	0.00	0	0
scaffold_1204	18710	527810	28.21	0	62
scaffold_1204_region	0	0	0.00	0	0
scaffold_1205	18704	379077	20.27	3	63
scaffold_1205_region	4120	90538	21.98	8	37
scaffold_1206	18674	356980	19.12	2	48
scaffold_1206_region	8741	156061	17.85	4	39
scaffold_1207	18669	699921	37.49	0	130
scaffold_1207_region	0	0	0.00	0	0
scaffold_1208	18650	384066	20.59	4	43
scaffold_1208_region	5210	111306	21.36	6	43
scaffold_1209	18642	438528	23.52	0	95
scaffold_1209_region	0	0	0.00	0	0
scaffold_1210	18630	382660	20.54	4	176
scaffold_1210_region	0	0	0.00	0	0
scaffold_1211	18549	384959	20.75	4	41
scaffold_1211_region	3098	67438	21.77	7	36
scaffold_1212	18547	310444	16.74	0	45
scaffold_1212_region	3479	61482	17.67	0	36
scaffold_1213	18533	874844	47.20	0	402
scaffold_1213_region	0	0	0.00	0	0
scaffold_1214	18531	911990	49.21	3	308
scaffold_1214_region	1183	51940	43.91	18	76
scaffold_1215	18506	661454	35.74	0	121
scaffold_1215_region	0	0	0.00	0	0
scaffold_1216	18441	422801	22.93	0	102
scaffold_1216_region	0	0	0.00	0	0
scaffold_1217	18414	373684	20.29	1	63
scaffold_1217_region	1282	29236	22.80	9	45
scaffold_1218	18386	336195	18.29	2	82
scaffold_1218_region	0	0	0.00	0	0
scaffold_1219	18381	582565	31.69	0	76
scaffold_1219_region	0	0	0.00	0	0
scaffold_1220	18372	483440	26.31	0	115
scaffold_1220_region	657	12569	19.13	11	31
scaffold_1221	18335	391335	21.34	0	133
scaffold_1221_region	1200	20225	16.85	9	28
scaffold_1222	18276	589940	32.28	2	104
scaffold_1222_region	0	0	0.00	0	0
scaffold_1223	18254	516236	28.28	0	81
scaffold_1223_region	0	0	0.00	0	0
scaffold_1224	18220	347774	19.09	0	132
scaffold_1224_region	2822	27914	9.89	0	18
scaffold_1225	18186	437952	24.08	2	45
scaffold_1225_region	1569	37787	24.08	9	37
scaffold_1226	18169	479189	26.37	0	156
scaffold_1226_region	0	0	0.00	0	0
scaffold_1227	18142	463206	25.53	0	60
scaffold_1227_region	0	0	0.00	0	0
scaffold_1228	18130	404860	22.33	3	205
scaffold_1228_region	2143	43272	20.19	5	37
scaffold_1229	18048	584685	32.40	0	187
scaffold_1229_region	0	0	0.00	0	0
scaffold_1230	18012	364514	20.24	0	54
scaffold_1230_region	2131	46192	21.68	9	42
scaffold_1231	17997	717191	39.85	0	286
